Title,UID,UIN,PIN,OO,CanO,HisO,Ch,TxCk,TxRv,¶,add,x,f,cd,h8,Int
2 Thessalonians,2TH,54,54,53,B164,B265,3,1,,0.5,,0.1,0.1,0.1,0.1,0.1
1 Timothy,1TI,55,55,54,B165,B266,6,1,,0.5,,0.1,0.1,0.1,0.1,0.1
2 Timothy,2TI,56,56,55,B166,B267,4,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Titus,TIT,57,57,56,B167,B268,3,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Philemon,PHM,58,58,57,B168,B269,1,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Hebrews,HEB,59,59,58,B169,B270,13,1,,0.5,,0.1,0.1,0.1,0.1,0.1
James,JAS,60,60,59,B170,B271,5,1,,0.5,,0.1,0.1,0.1,0.1,0.1
1 Peter,1PE,61,61,60,B171,B272,5,1,,1,,0.1,0.1,0.1,0.1,0.1
2 Peter,2PE,62,62,61,B172,B273,3,1,,1,,0.1,0.1,0.1,0.1,0.1
2 John,2JN,64,64,63,B174,B274,1,1,,1,,0.1,0.1,0.1,0.1,0.1
3 John,3JN,65,65,64,B175,B275,1,1,,1,,0.1,0.1,0.1,0.1,0.1
Jude,JUD,66,66,65,B176,B276,1,1,,1,,0.1,0.1,0.1,0.1,0.1
Revelation,REV,67,67,66,B177,B277,22,1,,1,,0.1,0.1,0.1,0.1,0.1
NT Back Matter,,,,,B178,B280,,,,,,,,,,
Topical Index,TDX,B0,6D,,B180,B281,,,,,,,,,,
Concordance,CNC,A8,6B,,B182,B282,,,,,,,,,,
Glossary / Wordlist,GLO,A9,6C,,B179,B283,,,,,,,,,,
Other Matter,OTH,A2,6F,,B183,B284,,,,,,,,,,
Names Index,NDX,B1,6E,,B181,B285,,,,,,,,,,
Back Matter,BAK,A1,6A,67,B184,B286,,,,,,,,,,
