BCV	P
B001:C028:V016 	
B001:C029:V001	¶
B001:C029:V001 	
B001:C029:V002	¶
B001:C029:V002 	
B001:C029:V005	¶
B001:C029:V005 	
B001:C029:V009	¶
B001:C029:V009 	
B001:C029:V015	¶
B001:C029:V015 	
B001:C029:V021	¶
B001:C029:V021 	
B001:C029:V025	¶
B001:C029:V025 	
B001:C029:V031	¶
B001:C029:V031 	
B001:C030:V001	¶
B001:C030:V001 	
B001:C030:V014	¶
B001:C030:V014 	
B001:C030:V025	¶
B001:C030:V025 	
B001:C031:V001	¶
B001:C031:V001 	
B001:C031:V003	¶
B001:C031:V003 	
B001:C031:V017	¶
B001:C031:V017 	
B001:C031:V025	¶
B001:C031:V025 	
B001:C031:V043	¶
B001:C031:V043 	
B001:C032:V001	¶
B001:C032:V001 	
B001:C032:V009	¶
B001:C032:V009 	
B001:C032:V013	¶
B001:C032:V013 	
B001:C032:V024	¶
B001:C032:V024 	
B001:C033:V001	¶
B001:C033:V001 	
B001:C033:V016	¶
B001:C033:V016 	
B001:C034:V001	¶
B001:C034:V001 	
B001:C034:V006	¶
B001:C034:V006 	
B001:C034:V020	¶
B001:C034:V020 	
B001:C034:V025	¶
B001:C034:V025 	
B001:C035:V001	¶
B001:C035:V001 	
B001:C035:V006	¶
B001:C035:V006 	
B001:C035:V016	¶
B001:C035:V016 	
B001:C035:V021	¶
B001:C035:V021 	
B001:C035:V028	¶
B001:C035:V028 	
B001:C036:V001	¶
B001:C036:V001 	
B001:C036:V009	¶
B001:C036:V009 	
B001:C036:V020	¶
B001:C036:V020 	
B001:C036:V031	¶
B001:C036:V031 	
B001:C037:V001	¶
B001:C037:V001 	
B001:C037:V005	¶
B001:C037:V005 	
B001:C037:V009	¶
B001:C037:V009 	
B001:C037:V012	¶
B001:C037:V012 	
B001:C037:V023	¶
B001:C037:V023 	
B001:C037:V029	¶
B001:C037:V029 	
B001:C038:V001	¶
B001:C038:V001 	
B001:C038:V006	¶
B001:C038:V006 	
B001:C038:V012	¶
B001:C038:V012 	
B001:C039:V001	¶
B001:C039:V001 	
B001:C039:V007	¶
B001:C039:V007 	
B001:C039:V021	¶
B001:C039:V021 	
B001:C040:V001	¶
B001:C040:V001 	
B001:C040:V005	¶
B001:C040:V005 	
B001:C040:V020	¶
B001:C040:V020 	
B001:C041:V001	¶
B001:C041:V001 	
B001:C041:V009	¶
B001:C041:V009 	
B001:C041:V014	¶
B001:C041:V014 	
B001:C041:V037	¶
B001:C041:V037 	
B001:C041:V046	¶
B001:C041:V046 	
B001:C041:V053	¶
B001:C041:V053 	
B001:C042:V001	¶
B001:C042:V001 	
B001:C042:V026	¶
B001:C042:V026 	
B001:C043:V001	¶
B001:C043:V001 	
B001:C043:V015	¶
B001:C043:V015 	
B001:C043:V026	¶
B001:C043:V026 	
B001:C044:V001	¶
B001:C044:V001 	
B001:C044:V006	¶
B001:C044:V006 	
B001:C044:V014	¶
B001:C044:V014 	
B001:C044:V018	¶
B001:C044:V018 	
B001:C045:V001	¶
B001:C045:V001 	
B001:C045:V016	¶
B001:C045:V016 	
B001:C045:V025	¶
B001:C045:V025 	
B001:C046:V001	¶
B001:C046:V001 	
B001:C046:V008	¶
B001:C046:V008 	
B001:C046:V010	¶
B001:C046:V010 	
B001:C046:V011	¶
B001:C046:V011 	
B001:C046:V012	¶
B001:C046:V012 	
B001:C046:V013	¶
B001:C046:V013 	
B001:C046:V014	¶
B001:C046:V014 	
B001:C046:V016	¶
B001:C046:V016 	
B001:C046:V017	¶
B001:C046:V017 	
B001:C046:V020	¶
B001:C046:V020 	
B001:C046:V021	¶
B001:C046:V021 	
B001:C046:V023	¶
B001:C046:V023 	
B001:C046:V028	¶
B001:C046:V028 	
B001:C047:V001	¶
B001:C047:V001 	
B001:C047:V013	¶
B001:C047:V013 	
B001:C047:V027	¶
B001:C047:V027 	
B001:C048:V001	¶
B001:C048:V001 	
B001:C048:V015	¶
B001:C048:V015 	
B001:C049:V001	¶
B001:C049:V001 	
B001:C049:V003	¶
B001:C049:V003 	
B001:C049:V005	¶
B001:C049:V005 	
B001:C049:V008	¶
B001:C049:V008 	
B001:C049:V013	¶
B001:C049:V013 	
B001:C049:V014	¶
B001:C049:V014 	
B001:C049:V016	¶
B001:C049:V016 	
B001:C049:V019	¶
B001:C049:V019 	
